trainerID;trainername;wins;Combat Power Sum;pok0_id;pok0_type1;pok0_type2;pok0_cp;pok0_modcp;pok0_speed;pok0_isaccess;pok1_id;pok1_type1;pok1_type2;pok1_cp;pok1_modcp;pok1_speed;pok1_isaccess;pok2_id;pok2_type1;pok2_type2;pok2_cp;pok2_modcp;pok2_speed;pok2_isaccess;pok3_id;pok3_type1;pok3_type2;pok3_cp;pok3_modcp;pok3_speed;pok3_isaccess;pok4_id;pok4_type1;pok4_type2;pok4_cp;pok4_modcp;pok4_speed;pok4_isaccess;pok5_id;pok5_type1;pok5_type2;pok5_cp;pok5_modcp;pok5_speed;pok5_isaccess
7302;Hiking Girl   Annie;1;9084.0;18074.0;Bug;None;1194.0;1194.0;38.0;True;18075.0;Bug;Poison;1194.0;1194.0;58.0;True;18076.0;Rock;Rock;1614.0;1614.0;48.0;True;18077.0;Ice;Flying;1569.0;1569.0;98.0;True;18078.0;Grass;None;1854.0;1854.0;53.0;True;18079.0;Normal;None;1659.0;1659.0;71.0;True
11860;random_trainer;2;11439.0;28804.0;Normal;None;1899.0;1899.0;138.0;True;28805.0;Grass;Dark;1599.0;1599.0;83.0;True;28806.0;None;None;1929.0;1929.0;88.0;True;28807.0;Water;None;2004.0;2004.0;98.0;True;28808.0;Dragon;Flying;2049.0;2049.0;103.0;True;28809.0;Water;Electric;1959.0;1959.0;90.0;True
5836;Medium;3;11184.0;14261.0;Ghost;Poison;1509.0;1509.0;103.0;True;14262.0;Ghost;Poison;1794.0;1794.0;118.0;True;14263.0;Poison;Poison;2079.0;2079.0;133.0;True;14264.0;Poison;Flying;1944.0;1944.0;113.0;True;14265.0;Normal;None;1734.0;1734.0;53.0;True;14266.0;Water;Poison;2124.0;2124.0;123.0;True
2526;Bodybuilder♂ Seet;3;10779.0;5980.0;Water;Rock;2034.0;2034.0;78.0;True;5981.0;Steel;Rock;1869.0;1869.0;63.0;True;5982.0;None;None;1809.0;1809.0;53.0;True;5983.0;Steel;Psychic;1479.0;1479.0;53.0;True;5984.0;Rock;Ground;1749.0;1749.0;58.0;True;5985.0;Dragon;None;1839.0;1839.0;73.0;True
11039;Team Snagem Biden;4;12282.0;27049.0;Electric;None;2154.0;2154.0;153.0;True;27050.0;Poison;None;2049.0;2049.0;83.0;True;27051.0;Fire;Fire;2079.0;2079.0;118.0;True;27052.0;Bug;Flying;1947.0;1947.0;183.0;True;27053.0;Steel;Ground;2109.0;2109.0;53.0;True;27054.0;Fighting;None;1944.0;1944.0;110.0;True
5307;Boarder Alvin;5;10899.0;12862.0;Water;None;1554.0;1554.0;68.0;True;12863.0;Psychic;None;1779.0;1779.0;128.0;True;12864.0;Flying;Flying;1569.0;1569.0;98.0;True;12865.0;Electric;Steel;1974.0;1974.0;93.0;True;12866.0;Grass;Poison;2154.0;2154.0;103.0;True;12867.0;Dark;Ice;1869.0;1869.0;138.0;True
6950;Old Man;5;12808.0;17173.0;Dragon;None;2051.1;2051.1;98.0;True;17174.0;Fire;Flying;2346.24;2346.24;127.0;True;17175.0;None;None;2105.28;2105.28;135.0;True;17176.0;Bug;Flying;2148.12;2148.12;130.0;True;17177.0;Normal;None;2049.0;2049.0;113.0;True;17178.0;Water;Fighting;2109.0;2109.0;93.0;True
11861;stat_trainer;6;12882.72;28814.0;Fire;Flying;2181.0;2181.0;123.0;True;28811.0;Dragon;Fire;2817.36;2817.36;117.0;True;28812.0;None;None;1299.0;1299.0;83.0;True;28815.0;Ground;None;1449.0;1449.0;33.0;True;28810.0;Dragon;Electric;2817.36;2817.36;117.0;True;28813.0;Electric;Flying;2319.0;2319.0;123.0;True
1575;Athlete♀ Ziale;7;12414.0;3788.0;Rock;Grass;2064.0;2064.0;66.0;True;3789.0;Bug;None;2079.0;2079.0;108.0;True;3790.0;Bug;Bug;2064.0;2064.0;68.0;True;3791.0;Normal;None;2049.0;2049.0;123.0;True;3792.0;Ground;Psychic;2079.0;2079.0;98.0;True;3793.0;Water;None;2079.0;2079.0;83.0;True
11575;World Champion Toler;9;13434.0;28161.0;Dragon;Ground;2379.0;2379.0;125.0;True;28162.0;Water;Grass;2019.0;2019.0;93.0;True;28163.0;None;None;2379.0;2379.0;108.0;True;28164.0;Dark;Dragon;2379.0;2379.0;121.0;True;28165.0;Electric;Ghost;1899.0;1899.0;114.0;True;28166.0;Steel;Psychic;2379.0;2379.0;93.0;True
