trainerID;place;pokename;pokelevel;type1;type2;hp;maxhp;defense;spatk;Combat Power;pokemonID;trainername;Combat Power Sum
1274;0;Marowak;50;Ground;None;138;138;133;73;1854.0;2916;Cool♀;10659
1274;1;Chansey;50;Normal;None;328;328;28;58;1929.0;2917;Cool♀;10659
1274;2;Parasect;50;Bug;Grass;138;138;103;83;1794.0;2918;Cool♀;10659
1274;3;Nidorina;50;Poison;None;148;148;90;78;1674.0;2919;Cool♀;10659
1274;4;Nidorino;50;Poison;None;139;139;80;78;1674.0;2920;Cool♀;10659
1274;5;Lickitung;50;Normal;None;168;168;98;83;1734.0;2921;Cool♀;10659
1275;0;Marowak;50;Ground;None;138;138;133;73;1854.0;2922;Cool♀;11499
1275;1;Chansey;50;Normal;None;328;328;28;58;1929.0;2923;Cool♀;11499
1275;2;Parasect;50;Bug;Grass;138;138;103;83;1794.0;2924;Cool♀;11499
1275;3;Nidoqueen;50;Poison;Ground;168;168;110;98;2094.0;2925;Cool♀;11499
1275;4;Nidoking;50;Poison;Ground;159;159;100;108;2094.0;2926;Cool♀;11499
1275;5;Lickitung;50;Normal;None;168;168;98;83;1734.0;2927;Cool♀;11499
1276;0;Omastar;50;Rock;Water;148;148;148;138;2064.0;2928;Cool♂;12573
1276;1;Dodrio;50;Normal;Flying;138;138;93;83;1959.0;2929;Cool♂;12573
1276;2;Tentacruel;50;Water;Poison;158;158;88;103;2124.0;2930;Cool♂;12573
1276;3;Clefable;50;Fairy;None;173;173;96;118;2028.0;2931;Cool♂;12573
1276;4;Zapdos;50;Electric;Flying;168;168;108;148;2319.0;2932;Cool♂;12573
1276;5;Pinsir;50;Bug;None;143;143;123;78;2079.0;2933;Cool♂;12573
1277;0;Omastar;50;Rock;Water;148;148;148;138;2064.0;2934;Cool♂;12573
1277;1;Dodrio;50;Normal;Flying;138;138;93;83;1959.0;2935;Cool♂;12573
1277;2;Tentacruel;50;Water;Poison;158;158;88;103;2124.0;2936;Cool♂;12573
1277;3;Clefable;50;Fairy;None;173;173;96;118;2028.0;2937;Cool♂;12573
1277;4;Zapdos;50;Electric;Flying;168;168;108;148;2319.0;2938;Cool♂;12573
1277;5;Pinsir;50;Bug;None;143;143;123;78;2079.0;2939;Cool♂;12573
1282;0;Jigglypuff;50;Normal;Fairy;193;193;43;68;1389.0;2963;Cooltrainer♀ Gloria;9123
1282;1;Venonat;50;Bug;Poison;138;138;73;63;1494.0;2964;Cooltrainer♀ Gloria;9123
1282;2;Skiploom;50;Grass;Flying;133;133;73;68;1599.0;2965;Cooltrainer♀ Gloria;9123
1282;3;Clefairy;50;Fairy;None;148;148;71;83;1548.0;2966;Cooltrainer♀ Gloria;9123
