trainerID;trainername;wins;Combat Power Sum;pok0_id;pok0_type1;pok0_type2;pok0_cp;pok0_modcp;pok0_speed;pok0_isaccess;pok1_id;pok1_type1;pok1_type2;pok1_cp;pok1_modcp;pok1_speed;pok1_isaccess;pok2_id;pok2_type1;pok2_type2;pok2_cp;pok2_modcp;pok2_speed;pok2_isaccess;pok3_id;pok3_type1;pok3_type2;pok3_cp;pok3_modcp;pok3_speed;pok3_isaccess;pok4_id;pok4_type1;pok4_type2;pok4_cp;pok4_modcp;pok4_speed;pok4_isaccess;pok5_id;pok5_type1;pok5_type2;pok5_cp;pok5_modcp;pok5_speed;pok5_isaccess;pok6_isaccess;pok7_isaccess;pok8_isaccess;pok9_isaccess
4278;Area Leader Elion;1;8475.0;10517.0;Poison;Flying;1314.0;1314.0;78.0;True;10518.0;Normal;Flying;1509.0;1509.0;98.0;True;10519.0;Flying;Flying;1365.0;1365.0;73.0;True;10520.0;Normal;Flying;1509.0;1509.0;73.0;True;10521.0;Normal;Flying;1389.0;1389.0;108.0;True;10522.0;Water;Flying;1389.0;1389.0;108.0;True;;;;
11362;Twins Myn&Lyn;4;8298.0;27643.0;Bug;Flying;1374.0;1374.0;78.0;True;27644.0;Grass;None;1119.0;1119.0;53.0;True;27645.0;Fairy;Fairy;1389.0;1389.0;43.0;True;27646.0;Grass;Flying;1329.0;1329.0;73.0;True;27647.0;Electric;None;1539.0;1539.0;113.0;True;27648.0;Fairy;None;1548.0;1548.0;58.0;True;;False;;False
5561;Bug Boy;4;9291.0;13598.0;Bug;Grass;1434.0;1434.0;48.0;True;13599.0;Normal;None;1338.0;1338.0;95.0;True;13600.0;Flying;Flying;1365.0;1365.0;93.0;True;13601.0;Normal;Flying;1626.0;1626.0;94.0;True;13602.0;Bug;Poison;1764.0;1764.0;98.0;True;13603.0;Bug;Flying;1764.0;1764.0;93.0;True;;;;
9254;Rich Boy Marcon;4;8364.0;22616.0;Bug;Water;1386.0;1386.0;88.0;True;22617.0;Grass;None;1239.0;1239.0;53.0;True;22618.0;Grass;Grass;1239.0;1239.0;53.0;True;22619.0;Grass;Poison;1539.0;1539.0;53.0;True;22620.0;Grass;None;1584.0;1584.0;58.0;True;22621.0;Bug;Ground;1377.0;1377.0;63.0;True;False;;False;
9321;Rider♀ Mayme;4;7743.0;22877.0;Grass;None;1119.0;1119.0;53.0;True;22878.0;Fairy;None;1314.0;1314.0;43.0;True;22879.0;None;None;1164.0;1164.0;43.0;True;22880.0;Steel;Rock;1569.0;1569.0;53.0;True;22881.0;Bug;Ghost;1287.0;1287.0;63.0;True;22882.0;Fighting;None;1290.0;1290.0;48.0;True;False;;;
5873;Chaser♀ Gucio;6;9222.0;14397.0;Water;None;1503.0;1503.0;58.0;True;14398.0;Water;Ground;1443.0;1443.0;83.0;True;14399.0;None;None;1779.0;1779.0;83.0;True;14400.0;Water;Dark;1494.0;1494.0;88.0;True;14401.0;Water;None;1539.0;1539.0;86.0;True;14402.0;Water;None;1464.0;1464.0;83.0;True;False;;;
4276;Area Leader Altor;6;10389.0;10505.0;Rock;Bug;1644.0;1644.0;98.0;True;10506.0;Bug;Flying;1749.0;1749.0;108.0;True;10507.0;Flying;Flying;1764.0;1764.0;88.0;True;10508.0;Bug;Poison;1749.0;1749.0;63.0;True;10509.0;Bug;Poison;1734.0;1734.0;88.0;True;10510.0;Bug;Flying;1749.0;1749.0;118.0;True;;;;
2524;Bodybuilder♂ Rawles;7;9549.0;5968.0;Psychic;None;1854.0;1854.0;88.0;True;5969.0;Normal;Flying;1509.0;1509.0;98.0;True;5970.0;None;None;1509.0;1509.0;113.0;True;5971.0;Grass;None;1509.0;1509.0;93.0;True;5972.0;Electric;None;1569.0;1569.0;123.0;True;5973.0;Water;None;1599.0;1599.0;108.0;True;False;;False;
1958;Beauty;8;10729.0;4509.0;Water;None;1603.44;1603.44;74.0;True;4510.0;Water;None;1851.3;1851.3;82.0;True;4511.0;Water;Water;1704.42;1704.42;59.0;True;4512.0;Water;None;1967.58;1967.58;110.0;True;4513.0;Rock;Ground;1811.52;1811.52;59.0;True;4514.0;Rock;Ground;1793.16;1793.16;94.0;True;False;False;;False
7504;Juggler;8;9837.0;18657.0;Psychic;None;1563.0;1563.0;65.0;True;18658.0;Ghost;Poison;1509.0;1509.0;103.0;True;18659.0;None;None;1944.0;1944.0;99.0;True;18660.0;Fighting;None;1794.0;1794.0;68.0;True;18661.0;Rock;Ground;1479.0;1479.0;43.0;True;18662.0;Fairy;None;1548.0;1548.0;58.0;True;False;;False;
