"county","party","candidate","votes","home_ownership"
Virginia Beach,Democrat,Hillary Clinton,22352,64.2
Dimmit,Democrat,Hillary Clinton,1804,69.8
Caddo,Democrat,Bernie Sanders,1543,70.8
Crawford,Republican,Ted Cruz,226,75.9
Hernando,Republican,Donald Trump,15479,79.3
Golden Valley,Republican,Donald Trump,203,79.3
Boone,Democrat,Bernie Sanders,15076,57.1
Faulkner,Republican,Ted Cruz,6228,65.2
McCone,Republican,Donald Trump,410,77.2
Clark,Republican,Donald Trump,1484,75.6
Chickasaw,Democrat,Hillary Clinton,1398,73.2
Brooks,Republican,Donald Trump,1009,67.6
Grant,Republican,Donald Trump,722,78.0
Love,Democrat,Bernie Sanders,502,75.8
Jackson,Republican,Donald Trump,5484,77.1
Washington,Democrat,Hillary Clinton,1741,72.5
Sac,Republican,Donald Trump,212,81.4
Lee,Republican,Donald Trump,2153,73.9
St. Bernard,Democrat,Hillary Clinton,1057,69.2
Gilpin,Democrat,Bernie Sanders,173,75.5
Harlan,Republican,Donald Trump,436,77.9
Hardee,Republican,Donald Trump,1113,70.5
Queen Anne's,Republican,Donald Trump,5195,84.5
Centre,Democrat,Bernie Sanders,10269,59.6
Bonneville,Republican,Ted Cruz,7794,73.0
Plymouth,Republican,Donald Trump,618,79.3
Rio Arriba,Democrat,Hillary Clinton,4915,79.2
Butler,Republican,Donald Trump,564,74.5
Marshall,Republican,Donald Trump,9115,71.9
Santa Clara,Democrat,Hillary Clinton,109963,57.5
Franklin,Democrat,Hillary Clinton,650,69.8
Kemper,Democrat,Hillary Clinton,1008,76.1
Teller,Democrat,Bernie Sanders,219,81.4
Garden,Republican,Donald Trump,372,77.6
Grant,Democrat,Bernie Sanders,4484,71.8
Randolph,Republican,Donald Trump,735,75.3
Magoffin,Democrat,Bernie Sanders,626,78.6
Liberty,Democrat,Bernie Sanders,392,78.7
Wayne,Republican,Donald Trump,2075,79.1
Alger,Democrat,Bernie Sanders,622,84.9
Manassas Park,Democrat,Hillary Clinton,581,63.7
Mineral,Republican,Donald Trump,638,70.9
Montgomery,Democrat,Bernie Sanders,192,71.8
Saguache,Democrat,Bernie Sanders,219,66.9
Mason,Republican,Donald Trump,896,77.4
Baker,Republican,Donald Trump,2163,79.7
Shiawassee,Democrat,Bernie Sanders,4452,77.3
Pasquotank,Democrat,Hillary Clinton,2471,63.7
Bath,Democrat,Bernie Sanders,641,79.0
Bollinger,Republican,Donald Trump,1272,80.7
Avoyelles,Democrat,Hillary Clinton,1181,70.1
Sevier,Republican,Donald Trump,593,69.6
New Madrid,Republican,Donald Trump,1376,62.2
Somerset,Republican,Donald Trump,1686,68.1
Talbot,Democrat,Hillary Clinton,852,75.9
Pike,Republican,Donald Trump,2493,57.8
Union,Democrat,Bernie Sanders,1106,73.7
Dolores,Democrat,Bernie Sanders,22,80.8
Carroll,Democrat,Hillary Clinton,0,73.2
Dubois,Republican,Donald Trump,4692,78.2
Bates,Republican,Donald Trump,1306,73.8
Laramie,Democrat,Hillary Clinton,26,68.2
Boone,Democrat,Bernie Sanders,715,75.6
Madison,Republican,Ted Cruz,4079,49.1
Prince George's,Democrat,Hillary Clinton,113912,62.5
Decatur,Republican,Ted Cruz,173,70.1
Midland,Republican,Ted Cruz,4720,75.4
Acadia,Democrat,Hillary Clinton,1862,70.3
Ford,Republican,Ted Cruz,1281,76.6
Big Horn,Democrat,Bernie Sanders,2,75.7
McDuffie,Republican,Donald Trump,1288,66.0
Sangamon,Republican,Ted Cruz,12261,70.0
Miner,Democrat,Hillary Clinton,109,76.6
Glenn,Republican,Donald Trump,1699,63.1
Stephenson,Republican,Ted Cruz,3038,71.8
Cedar,Republican,Donald Trump,775,81.2
Pemiscot,Republican,Donald Trump,1155,54.9
Frontier,Republican,Donald Trump,315,74.5
Costilla,Democrat,Hillary Clinton,64,79.6
El Paso,Democrat,Hillary Clinton,36067,61.7
Wasco,Democrat,Bernie Sanders,1795,64.9
Carroll,Republican,Ben Carson,0,73.2
