"county","party","candidate","votes","primary_education","secondary_education","higher_education"
Daniels,Republican,Donald Trump,340,5.599999999999994,71.5,22.9
JoDaviess,Republican,Donald Trump,1666,8.099999999999994,68.2,23.7
Saint Francis,Democrat,Hillary Clinton,1912,24.0,64.3,11.7
Orange,Democrat,Hillary Clinton,66654,12.799999999999997,57.1,30.1
Monroe,Republican,Ted Cruz,195,13.299999999999997,67.4,19.3
Summers,Democrat,Bernie Sanders,1060,21.400000000000006,65.89999999999999,12.7
Pike,Republican,Donald Trump,2493,19.0,58.0,23.0
White,Republican,Donald Trump,2715,14.799999999999997,65.9,19.3
Pulaski,Republican,Donald Trump,2821,20.099999999999994,64.80000000000001,15.1
Harrison,Republican,Donald Trump,4326,12.400000000000006,72.69999999999999,14.9
Gilchrist,Republican,Donald Trump,1860,20.200000000000003,68.7,11.1
Bradford,Republican,Donald Trump,1802,24.5,66.3,9.2
Okmulgee,Democrat,Bernie Sanders,1882,14.599999999999994,71.5,13.9
Jasper,Democrat,Hillary Clinton,927,8.5,73.7,17.8
Willacy,Democrat,Hillary Clinton,2072,37.8,53.400000000000006,8.8
Scott,Democrat,Hillary Clinton,2013,27.700000000000003,62.699999999999996,9.6
Effingham,Republican,Ted Cruz,3448,9.099999999999994,70.9,20.0
New Madrid,Republican,Donald Trump,1376,23.099999999999994,64.60000000000001,12.3
Rockcastle,Republican,Donald Trump,743,24.700000000000003,64.39999999999999,10.9
Spencer,Republican,Donald Trump,2350,13.5,71.0,15.5
Calhoun,Democrat,Bernie Sanders,503,11.0,74.6,14.4
Buffalo,Democrat,Hillary Clinton,110,21.799999999999997,69.10000000000001,9.1
Trinity,Republican,Donald Trump,1026,8.700000000000003,70.0,21.3
Albany,Democrat,Bernie Sanders,20422,7.900000000000006,53.3,38.8
Charlton,Republican,Donald Trump,602,25.700000000000003,64.89999999999999,9.4
Marshall,Democrat,Bernie Sanders,960,14.799999999999997,65.9,19.3
Sharp,Republican,Donald Trump,1241,17.0,72.0,11.0
Madison,Democrat,Hillary Clinton,4351,14.099999999999994,61.300000000000004,24.6
Lewis,Republican,Donald Trump,522,26.099999999999994,63.300000000000004,10.6
San Luis Obispo,Republican,Donald Trump,19313,10.400000000000006,58.099999999999994,31.5
Jessamine,Democrat,Bernie Sanders,2113,15.400000000000006,57.199999999999996,27.4
Carbon,Democrat,Hillary Clinton,4,10.400000000000006,71.89999999999999,17.7
Huron,Republican,Donald Trump,2346,13.099999999999994,73.2,13.7
Lee,Democrat,Hillary Clinton,7137,13.299999999999997,54.2,32.5
St. Charles,Republican,Donald Trump,30489,6.400000000000006,58.49999999999999,35.1
Warren,Republican,Donald Trump,2722,15.700000000000003,68.3,16.0
Pasquotank,Democrat,Hillary Clinton,2471,16.299999999999997,63.6,20.1
Morgan,Democrat,Bernie Sanders,988,29.299999999999997,59.2,11.5
Randolph,Republican,Donald Trump,1887,15.400000000000006,71.0,13.6
Cleburne,Republican,Donald Trump,2530,15.5,67.7,16.8
Staunton,Democrat,Bernie Sanders,1364,15.400000000000006,56.599999999999994,28.0
Duplin,Democrat,Hillary Clinton,3036,28.599999999999994,61.00000000000001,10.4
Boone,Democrat,Bernie Sanders,715,8.0,71.7,20.3
Lincoln,Democrat,Hillary Clinton,599,26.5,65.6,7.9
Terrebonne,Republican,Donald Trump,3454,24.900000000000006,61.699999999999996,13.4
LaClede,Republican,Donald Trump,3493,18.299999999999997,68.8,12.9
Caribou,Republican,Ted Cruz,602,11.299999999999997,71.2,17.5
Harris,Republican,Donald Trump,2542,10.799999999999997,61.900000000000006,27.3
Teton,Republican,Donald Trump,882,9.599999999999994,65.9,24.5
Mahaska,Republican,Ted Cruz,669,9.5,69.0,21.5
Seminole,Democrat,Bernie Sanders,1194,17.700000000000003,68.2,14.1
Adams,Republican,Donald Trump,354,7.200000000000003,70.9,21.9
Acadia,Democrat,Hillary Clinton,1862,27.900000000000006,61.89999999999999,10.2
Houston,Republican,Donald Trump,7091,11.200000000000003,64.8,24.0
Hempstead,Republican,Ted Cruz,917,18.299999999999997,67.60000000000001,14.1
Queens,Democrat,Hillary Clinton,122386,19.900000000000006,50.099999999999994,30.0
Pierce,Republican,Donald Trump,617,6.900000000000006,74.3,18.8
Thomas,Republican,Donald Trump,2649,18.200000000000003,63.699999999999996,18.1
Radford,Democrat,Bernie Sanders,655,13.299999999999997,54.6,32.1
Washakie,Democrat,Hillary Clinton,2,9.5,66.9,23.6
Arlington,Democrat,Hillary Clinton,25561,6.700000000000003,21.599999999999994,71.7
Whitley,Republican,Donald Trump,1556,26.599999999999994,60.00000000000001,13.4
Stone,Republican,Ted Cruz,1428,15.5,70.9,13.6
Ogemaw,Republican,Donald Trump,1612,14.900000000000006,73.8,11.3
Dorchester,Republican,Donald Trump,2744,16.799999999999997,65.2,18.0
Carter,Republican,Donald Trump,349,7.200000000000003,76.4,16.4
Sullivan,Democrat,Bernie Sanders,2671,15.5,63.6,20.9
Van Buren,Republican,Ted Cruz,196,12.799999999999997,72.8,14.4
Lincoln,Republican,Donald Trump,3073,13.200000000000003,68.5,18.3
Dallas,Republican,Marco Rubio,2469,5.599999999999994,50.800000000000004,43.6
Carter,Democrat,Bernie Sanders,1051,24.5,65.1,10.4
Taylor,Republican,Donald Trump,140,10.0,76.2,13.8
Lawrence,Republican,Ted Cruz,4235,15.5,69.1,15.4
Lyon,Republican,Ted Cruz,432,10.900000000000006,71.5,17.6
Chester,Democrat,Hillary Clinton,1962,22.0,65.6,12.4
Dona Ana,Democrat,Hillary Clinton,9097,22.5,50.9,26.6
Vernon,Republican,Donald Trump,1119,13.599999999999994,67.60000000000001,18.8
Gogebic,Democrat,Bernie Sanders,790,8.299999999999997,73.4,18.3
Natrona,Democrat,Hillary Clinton,20,8.200000000000003,69.5,22.3
Eaton,Democrat,Bernie Sanders,7007,6.599999999999994,68.80000000000001,24.6
Lanier,Republican,Donald Trump,512,23.599999999999994,64.4,12.0
Madison,Republican,Donald Trump,2460,21.299999999999997,63.800000000000004,14.9
Wright,Democrat,Hillary Clinton,273,11.200000000000003,72.8,16.0
Yuba,Republican,Donald Trump,3210,21.0,65.3,13.7
Calhoun,Democrat,Bernie Sanders,200,9.5,71.4,19.1
Marion,Republican,Ted Cruz,2263,15.900000000000006,65.6,18.5
Gilmer,Republican,Donald Trump,3314,23.5,60.1,16.4
Alpine,Democrat,Bernie Sanders,129,9.599999999999994,59.2,31.2
Columbia,Republican,Donald Trump,9177,8.700000000000003,57.199999999999996,34.1
San Miguel,Democrat,Hillary Clinton,3418,16.099999999999994,64.30000000000001,19.6
Kootenai,Republican,Ted Cruz,11924,7.900000000000006,68.8,23.3
Trimble,Democrat,Bernie Sanders,542,15.5,68.4,16.1
Ohio,Democrat,Bernie Sanders,943,22.700000000000003,69.3,8.0
Madison,Republican,Donald Trump,1412,5.200000000000003,62.099999999999994,32.7
Howell,Republican,Donald Trump,4230,17.400000000000006,67.19999999999999,15.4
Nueces,Democrat,Hillary Clinton,15662,20.200000000000003,59.8,20.0
Barton,Republican,Ted Cruz,1560,14.200000000000003,68.9,16.9
Appling,Republican,Donald Trump,1290,23.200000000000003,64.0,12.8
Audrain,Republican,Ted Cruz,1642,15.700000000000003,71.2,13.1
Floyd,Democrat,Hillary Clinton,453,9.5,74.6,15.9
Henrico,Democrat,Hillary Clinton,28121,9.900000000000006,50.39999999999999,39.7
Cook,Republican,Donald Trump,1229,25.200000000000003,62.4,12.4
Jackson,Republican,Donald Trump,582,30.700000000000003,61.099999999999994,8.2
Calhoun,Democrat,Hillary Clinton,200,9.5,71.4,19.1
Teton,Republican,Ted Cruz,465,12.200000000000003,53.4,34.4
Dawson,Republican,Donald Trump,1950,24.200000000000003,59.8,16.0
Glenn,Republican,Donald Trump,1699,27.700000000000003,57.699999999999996,14.6
Lake,Republican,Donald Trump,2927,9.799999999999997,65.4,24.8
Washington,Republican,Donald Trump,3156,19.900000000000006,68.19999999999999,11.9
Bond,Republican,Donald Trump,1102,13.700000000000003,67.19999999999999,19.1
Owen,Republican,Donald Trump,2679,16.799999999999997,72.2,11.0
Pointe Coupee,Democrat,Hillary Clinton,1680,19.0,66.7,14.3
Lincoln,Republican,Donald Trump,2950,17.200000000000003,66.0,16.8
Daviess,Republican,Donald Trump,634,15.799999999999997,67.80000000000001,16.4
Ingham,Democrat,Bernie Sanders,22909,8.900000000000006,54.599999999999994,36.5
Burt,Republican,Donald Trump,603,8.099999999999994,73.60000000000001,18.3
Cleveland,Democrat,Hillary Clinton,4880,18.0,65.7,16.3
Erie,Democrat,Hillary Clinton,19511,10.099999999999994,65.10000000000001,24.8
Terrell,Democrat,Hillary Clinton,67,25.5,57.1,17.4
Martin,Democrat,Hillary Clinton,2469,18.5,69.6,11.9
Baltimore City,Democrat,Hillary Clinton,81115,19.799999999999997,53.400000000000006,26.8
Hillsborough,Democrat,Hillary Clinton,68936,13.200000000000003,57.3,29.5
Hopkins,Democrat,Bernie Sanders,2696,17.400000000000006,68.39999999999999,14.2
Bonner,Republican,Ted Cruz,3132,9.299999999999997,69.6,21.1
Taos,Democrat,Bernie Sanders,4325,12.5,58.0,29.5
Kent,Democrat,Bernie Sanders,43375,10.599999999999994,57.7,31.7
Albemarle,Democrat,Hillary Clinton,8284,8.599999999999994,39.2,52.2
Evans,Republican,Donald Trump,481,23.799999999999997,62.1,14.1
Fayette,Democrat,Bernie Sanders,3585,21.099999999999994,67.30000000000001,11.6
Hidalgo,Democrat,Hillary Clinton,40276,38.2,45.9,15.9
Yalobusha,Democrat,Hillary Clinton,1214,22.5,64.3,13.2
Calhoun,Democrat,Hillary Clinton,413,19.5,73.1,7.4
Jefferson,Democrat,Bernie Sanders,347,18.5,70.3,11.2
Jim Hogg,Democrat,Hillary Clinton,1421,33.900000000000006,55.199999999999996,10.9
Texas,Republican,Donald Trump,2659,17.099999999999994,70.9,12.0
Laurel,Republican,Donald Trump,2313,25.099999999999994,62.300000000000004,12.6
Newton,Republican,Donald Trump,1073,20.200000000000003,67.1,12.7
Oktibbeha,Democrat,Hillary Clinton,2389,13.599999999999994,43.800000000000004,42.6
Paulding,Republican,Donald Trump,10002,11.5,65.1,23.4
Ventura,Democrat,Hillary Clinton,45848,17.200000000000003,51.4,31.4
Big Horn,Democrat,Hillary Clinton,2,10.900000000000006,67.89999999999999,21.2
Lafourche,Republican,Donald Trump,2725,26.200000000000003,59.0,14.8
Jeff Davis,Republican,Donald Trump,1071,20.400000000000006,70.0,9.6
Cumberland,Republican,Ted Cruz,1081,11.200000000000003,75.0,13.8
Logan,Democrat,Bernie Sanders,1131,23.700000000000003,63.0,13.3
Prowers,Democrat,Hillary Clinton,40,20.799999999999997,65.10000000000001,14.1
Jefferson,Republican,Donald Trump,3281,13.200000000000003,70.89999999999999,15.9
Mason,Republican,Donald Trump,1785,10.5,69.7,19.8
Dinwiddie,Democrat,Hillary Clinton,1935,19.799999999999997,67.4,12.8
Henderson,Republican,Donald Trump,516,11.599999999999994,72.7,15.7
Fayette,Republican,Donald Trump,8055,5.700000000000003,51.699999999999996,42.6
Bremer,Democrat,Hillary Clinton,640,6.200000000000003,65.5,28.3
Wayne,Republican,Donald Trump,1735,27.299999999999997,62.5,10.2
Jefferson,Democrat,Hillary Clinton,1671,18.799999999999997,64.30000000000001,16.9
Wakulla,Republican,Donald Trump,1664,12.299999999999997,70.5,17.2
Sharkey,Democrat,Hillary Clinton,645,22.700000000000003,56.199999999999996,21.1
Volusia,Republican,Donald Trump,34167,12.400000000000006,66.8,20.8
Jackson,Democrat,Hillary Clinton,450,10.799999999999997,74.7,14.5
Kershaw,Democrat,Hillary Clinton,3743,15.099999999999994,65.60000000000001,19.3
Schuyler,Republican,Donald Trump,428,14.099999999999994,76.10000000000001,9.8
Sumter,Democrat,Hillary Clinton,1960,23.799999999999997,57.7,18.5
Fremont,Democrat,Bernie Sanders,10,8.700000000000003,70.1,21.2
Clarke,Democrat,Hillary Clinton,7089,14.900000000000006,45.599999999999994,39.5
Oneida,Republican,Ted Cruz,473,6.900000000000006,79.89999999999999,13.2
LaRue,Democrat,Bernie Sanders,910,19.799999999999997,69.10000000000001,11.1
Durham,Democrat,Hillary Clinton,35845,13.099999999999994,41.800000000000004,45.1
Daviess,Democrat,Bernie Sanders,5188,12.0,69.2,18.8
Johnson,Republican,Donald Trump,1383,16.599999999999994,68.30000000000001,15.1
Ottawa,Democrat,Bernie Sanders,1238,16.400000000000006,69.69999999999999,13.9
Jasper,Republican,Ted Cruz,11113,15.700000000000003,64.1,20.2
Taylor,Democrat,Hillary Clinton,140,10.0,76.2,13.8
Honolulu,Democrat,Bernie Sanders,11458,9.700000000000003,58.199999999999996,32.1
Garfield,Republican,Donald Trump,227,6.0,80.2,13.8
Barnwell,Democrat,Hillary Clinton,1560,20.299999999999997,68.5,11.2
Amite,Democrat,Hillary Clinton,1212,25.299999999999997,63.1,11.6
Carroll,Democrat,Bernie Sanders,0,15.400000000000006,67.3,17.3
Carroll,Democrat,Hillary Clinton,0,15.400000000000006,67.3,17.3
Lewis and Clark,Republican,Donald Trump,6194,5.299999999999997,57.2,37.5
Brunswick,Democrat,Hillary Clinton,1354,28.700000000000003,59.099999999999994,12.2
Tazewell,Republican,Ted Cruz,12085,8.299999999999997,68.1,23.6
Etowah,Republican,Donald Trump,8657,18.200000000000003,67.0,14.8
Porter,Republican,Donald Trump,16194,8.599999999999994,66.0,25.4
Dallas,Democrat,Hillary Clinton,8577,22.5,63.3,14.2
Big Horn,Democrat,Bernie Sanders,2,10.900000000000006,67.89999999999999,21.2
Menominee,Democrat,Bernie Sanders,355,9.599999999999994,74.60000000000001,15.8
Charlevoix,Republican,Donald Trump,1886,8.400000000000006,64.6,27.0
Clay,Republican,Donald Trump,1294,12.299999999999997,73.7,14.0
Bacon,Republican,Donald Trump,904,27.799999999999997,60.1,12.1
Catoosa,Republican,Donald Trump,4449,17.700000000000003,64.8,17.5
Pima,Democrat,Hillary Clinton,56317,12.799999999999997,57.400000000000006,29.8
Clare,Republican,Donald Trump,1996,16.099999999999994,72.80000000000001,11.1
Kankakee,Republican,Donald Trump,6403,13.599999999999994,69.30000000000001,17.1
Dallas,Republican,Donald Trump,1672,23.099999999999994,62.800000000000004,14.1
San Mateo,Democrat,Hillary Clinton,47358,11.400000000000006,44.199999999999996,44.4
Tate,Republican,Ted Cruz,2034,20.099999999999994,64.5,15.4
Union,Republican,Donald Trump,875,14.599999999999994,67.0,18.4
Boise,Republican,Donald Trump,691,10.799999999999997,65.1,24.1
Benton,Republican,Donald Trump,1175,11.099999999999994,72.9,16.0
Winneshiek,Democrat,Bernie Sanders,616,6.200000000000003,67.3,26.5
Jefferson,Democrat,Hillary Clinton,67357,12.599999999999994,57.400000000000006,30.0
Douglas,Democrat,Hillary Clinton,9375,12.799999999999997,62.800000000000004,24.4
Saline,Republican,Ted Cruz,7507,10.799999999999997,65.80000000000001,23.4
Caroline,Democrat,Hillary Clinton,1902,19.099999999999994,64.10000000000001,16.8
Story,Democrat,Bernie Sanders,2737,4.5,47.8,47.7
Lake,Democrat,Bernie Sanders,165,13.200000000000003,58.699999999999996,28.1
Logan,Democrat,Hillary Clinton,77,11.299999999999997,72.9,15.8
Butts,Republican,Donald Trump,1884,25.299999999999997,66.3,8.4
Moultrie,Republican,Ted Cruz,1321,15.0,70.9,14.1
Monroe,Republican,Donald Trump,3272,7.200000000000003,66.9,25.9
Merrick,Republican,Donald Trump,775,9.299999999999997,73.7,17.0
St. Tammany,Republican,Donald Trump,12933,11.599999999999994,58.300000000000004,30.1
Boone,Republican,Donald Trump,2577,14.599999999999994,70.0,15.4
Sandoval,Democrat,Hillary Clinton,7448,9.200000000000003,62.5,28.3
Johnston,Democrat,Bernie Sanders,606,19.200000000000003,63.099999999999994,17.7
Fleming,Democrat,Bernie Sanders,806,24.0,63.2,12.8
Lincoln,Republican,Ted Cruz,276,25.5,62.7,11.8
Manhattan,Democrat,Hillary Clinton,177496,14.0,27.1,58.9
Toombs,Republican,Donald Trump,1513,20.799999999999997,64.0,15.2
Hughes,Democrat,Bernie Sanders,873,22.700000000000003,66.39999999999999,10.9
Alcona,Republican,Donald Trump,1111,13.099999999999994,73.9,13.0
Jasper,Republican,Donald Trump,3903,12.799999999999997,72.3,14.9
Ogle,Republican,Ted Cruz,4307,11.099999999999994,69.0,19.9
McCracken,Democrat,Bernie Sanders,3541,13.099999999999994,64.4,22.5
San Juan,Democrat,Bernie Sanders,27,5.599999999999994,69.60000000000001,24.8
DeKalb,Democrat,Hillary Clinton,82348,11.599999999999994,48.7,39.7
Charles,Democrat,Hillary Clinton,15132,8.799999999999997,64.5,26.7
Marion,Republican,Donald Trump,1581,16.400000000000006,70.69999999999999,12.9
Emporia,Democrat,Hillary Clinton,404,28.599999999999994,55.400000000000006,16.0
Decatur,Republican,Donald Trump,1525,21.599999999999994,63.7,14.7
McIntosh,Democrat,Bernie Sanders,1261,18.599999999999994,68.4,13.0
Siskiyou,Republican,Donald Trump,3573,11.0,65.1,23.9
Champaign,Democrat,Bernie Sanders,20581,6.400000000000006,51.199999999999996,42.4
Warren,Democrat,Hillary Clinton,1217,4.700000000000003,68.6,26.7
Yankton,Democrat,Hillary Clinton,706,9.0,64.6,26.4
Franklin,Democrat,Hillary Clinton,665,20.700000000000003,64.89999999999999,14.4
Towns,Republican,Donald Trump,1356,13.200000000000003,64.1,22.7
Santa Rosa,Republican,Donald Trump,16044,10.599999999999994,63.50000000000001,25.9
Wabash,Republican,Donald Trump,3932,13.900000000000006,69.1,17.0
Sarasota,Republican,Donald Trump,34593,8.099999999999994,61.10000000000001,30.8
Twiggs,Democrat,Hillary Clinton,818,29.700000000000003,59.5,10.8
Hancock,Republican,Donald Trump,9520,7.400000000000006,66.3,26.3
Payette,Republican,Ted Cruz,1364,14.599999999999994,69.0,16.4
Fayette,Democrat,Hillary Clinton,9184,14.599999999999994,71.4,14.0
Montezuma,Democrat,Bernie Sanders,412,10.099999999999994,62.60000000000001,27.3
Lewis,Republican,Donald Trump,801,12.599999999999994,74.9,12.5
Clarke,Democrat,Hillary Clinton,3148,21.700000000000003,67.1,11.2
Iosco,Republican,Donald Trump,1973,12.599999999999994,73.4,14.0
Caldwell,Republican,Donald Trump,284,25.299999999999997,66.5,8.2
Lee,Republican,Donald Trump,273,29.5,64.9,5.6
Robeson,Democrat,Hillary Clinton,8457,28.5,59.0,12.5
Quitman,Democrat,Hillary Clinton,986,32.0,54.3,13.7
Clear Creek,Democrat,Bernie Sanders,199,3.4000000000000057,56.8,39.8
Orange,Republican,Donald Trump,2574,19.599999999999994,67.80000000000001,12.6
Stillwater,Republican,Donald Trump,1658,7.5,70.4,22.1
Tift,Republican,Donald Trump,2697,22.5,61.5,16.0
Petersburg,Democrat,Hillary Clinton,4099,26.299999999999997,58.800000000000004,14.9
Falls Church,Democrat,Hillary Clinton,1587,2.700000000000003,22.89999999999999,74.4
Lee,Democrat,Hillary Clinton,929,10.0,74.2,15.8
Williamsburg,Democrat,Hillary Clinton,4609,22.400000000000006,65.39999999999999,12.2
Harrisonburg,Democrat,Bernie Sanders,2911,18.5,46.4,35.1
Whitley,Republican,Ted Cruz,4064,9.599999999999994,73.7,16.7
Bourbon,Democrat,Hillary Clinton,1109,18.400000000000006,65.8,15.8
Dolores,Democrat,Bernie Sanders,22,11.200000000000003,70.4,18.4
Hyde,Democrat,Hillary Clinton,459,21.200000000000003,68.1,10.7
Audubon,Democrat,Hillary Clinton,187,9.700000000000003,73.69999999999999,16.6
Richmond,Democrat,Hillary Clinton,333,26.200000000000003,61.5,12.3
Gratiot,Democrat,Bernie Sanders,1812,12.299999999999997,73.7,14.0
Graves,Democrat,Bernie Sanders,2631,19.200000000000003,63.9,16.9
Prairie,Republican,Donald Trump,269,13.200000000000003,69.9,16.9
Union,Democrat,Hillary Clinton,2548,17.599999999999994,66.30000000000001,16.1
Wayne,Republican,Donald Trump,1376,22.900000000000006,66.8,10.3
Rock Island,Democrat,Hillary Clinton,10216,12.599999999999994,65.60000000000001,21.8
Iberia,Democrat,Hillary Clinton,2171,23.400000000000006,62.99999999999999,13.6
Avoyelles,Democrat,Hillary Clinton,1181,29.799999999999997,60.5,9.7
Clinton,Democrat,Bernie Sanders,4524,7.099999999999994,64.7,28.2
Genesee,Democrat,Hillary Clinton,31284,11.299999999999997,69.80000000000001,18.9
Cass,Democrat,Hillary Clinton,300,7.200000000000003,73.8,19.0
Ozark,Republican,Donald Trump,1099,17.200000000000003,70.3,12.5
Blaine,Republican,Donald Trump,543,9.400000000000006,45.89999999999999,44.7
Logan,Republican,Ted Cruz,2361,14.200000000000003,69.6,16.2
Kossuth,Democrat,Hillary Clinton,360,7.799999999999997,73.9,18.3
Richmond,Democrat,Hillary Clinton,16269,16.299999999999997,63.2,20.5
Deuel,Democrat,Hillary Clinton,162,12.200000000000003,67.69999999999999,20.1
Warren,Democrat,Bernie Sanders,5365,13.400000000000006,58.199999999999996,28.4
Frontier,Republican,Donald Trump,315,5.299999999999997,78.2,16.5
Screven,Republican,Donald Trump,801,21.099999999999994,65.9,13.0
Toole,Republican,Donald Trump,863,11.900000000000006,73.5,14.6
Jefferson,Democrat,Hillary Clinton,1550,20.299999999999997,59.800000000000004,19.9
Suffolk,Democrat,Hillary Clinton,7533,12.799999999999997,61.0,26.2
King and Queen,Democrat,Hillary Clinton,477,18.5,67.4,14.1
Coles,Republican,Donald Trump,3156,10.0,65.8,24.2
Yuma,Democrat,Hillary Clinton,45,12.0,70.3,17.7
Park,Republican,Donald Trump,1901,6.799999999999997,59.6,33.6
Sheridan,Democrat,Hillary Clinton,7,5.900000000000006,66.69999999999999,27.4
Assumption,Democrat,Hillary Clinton,1139,28.700000000000003,61.599999999999994,9.7
Buchanan,Republican,Donald Trump,4691,13.900000000000006,66.0,20.1
Russell,Republican,Donald Trump,1106,26.200000000000003,61.9,11.9
Madison,Republican,Ted Cruz,4079,5.099999999999994,61.2,33.7
Pike,Republican,Donald Trump,1930,14.900000000000006,68.1,17.0
Meagher,Republican,Donald Trump,394,10.200000000000003,72.4,17.4
Monroe,Democrat,Bernie Sanders,15166,8.099999999999994,48.50000000000001,43.4
Hot Spring,Republican,Donald Trump,1597,16.599999999999994,71.10000000000001,12.3
Pulaski,Democrat,Hillary Clinton,34862,10.799999999999997,58.0,31.2
Lee,Democrat,Hillary Clinton,2207,27.200000000000003,63.699999999999996,9.1
Imperial,Democrat,Hillary Clinton,5743,35.5,51.2,13.3
Cuyahoga,Democrat,Hillary Clinton,125914,12.5,57.8,29.7
Randolph,Republican,Donald Trump,1917,17.799999999999997,70.4,11.8
Grundy,Republican,Donald Trump,978,14.599999999999994,70.5,14.9
Plaquemines,Republican,Donald Trump,705,19.299999999999997,65.4,15.3
Huerfano,Democrat,Bernie Sanders,150,15.299999999999997,56.7,28.0
DeSoto,Republican,Ted Cruz,12300,11.400000000000006,67.0,21.6
Pittsburg,Democrat,Bernie Sanders,3026,16.700000000000003,68.0,15.3
Lowndes,Democrat,Hillary Clinton,4030,18.0,60.6,21.4
Platte,Democrat,Bernie Sanders,2,7.400000000000006,69.39999999999999,23.2
Musselshell,Republican,Donald Trump,1032,10.700000000000003,75.7,13.6
Izard,Republican,Donald Trump,873,20.200000000000003,68.1,11.7
Garvin,Democrat,Bernie Sanders,1505,16.700000000000003,67.89999999999999,15.4
Conway,Democrat,Hillary Clinton,1755,15.5,69.8,14.7
Pierce,Democrat,Bernie Sanders,3199,6.5,67.8,25.7
Allendale,Democrat,Hillary Clinton,1022,28.099999999999994,56.900000000000006,15.0
Perry,Democrat,Hillary Clinton,2575,29.799999999999997,59.800000000000004,10.4
Vermilion,Republican,Donald Trump,1460,24.599999999999994,62.800000000000004,12.6
Cedar,Democrat,Bernie Sanders,445,7.900000000000006,72.6,19.5
Grant,Democrat,Bernie Sanders,4484,10.200000000000003,70.69999999999999,19.1
Cross,Republican,Donald Trump,972,21.0,67.6,11.4
St. Landry,Democrat,Hillary Clinton,4606,23.599999999999994,63.2,13.2
Caldwell,Democrat,Bernie Sanders,866,16.0,67.2,16.8
Garrard,Republican,Donald Trump,581,19.5,65.3,15.2
Peach,Democrat,Hillary Clinton,1675,17.299999999999997,63.5,19.2
Mackinac,Republican,Donald Trump,856,11.700000000000003,69.8,18.5
Union,Democrat,Hillary Clinton,822,18.0,68.9,13.1
Pushmataha,Democrat,Bernie Sanders,667,19.200000000000003,69.2,11.6
Colleton,Democrat,Hillary Clinton,2932,21.200000000000003,64.1,14.7
Cass,Republican,Ted Cruz,7671,8.0,68.7,23.3
Loup,Republican,Donald Trump,101,7.0,80.4,12.6
Cole,Republican,Ted Cruz,6159,9.599999999999994,59.60000000000001,30.8
Val Verde,Democrat,Hillary Clinton,1777,33.0,51.7,15.3
Scotland,Democrat,Hillary Clinton,2671,22.400000000000006,63.3,14.3
Crockett,Democrat,Hillary Clinton,266,35.7,53.199999999999996,11.1
Montgomery,Democrat,Hillary Clinton,953,27.299999999999997,59.6,13.1
Surry,Democrat,Hillary Clinton,812,22.200000000000003,61.099999999999994,16.7
La Plata,Democrat,Bernie Sanders,1466,5.799999999999997,52.800000000000004,41.4
Ripley,Republican,Donald Trump,3694,13.700000000000003,70.39999999999999,15.9
Houston,Republican,Donald Trump,8171,16.099999999999994,64.2,19.7
Starr,Democrat,Hillary Clinton,6918,55.0,36.4,8.6
Mahoning,Democrat,Hillary Clinton,21000,11.400000000000006,67.8,20.8
Adams,Republican,Ted Cruz,3851,15.700000000000003,69.6,14.7
Cedar,Republican,Donald Trump,775,7.299999999999997,76.1,16.6
Dallas,Democrat,Hillary Clinton,693,17.900000000000006,71.89999999999999,10.2
Kleberg,Democrat,Hillary Clinton,1738,25.900000000000006,50.49999999999999,23.6
Brooks,Republican,Donald Trump,1009,22.599999999999994,66.0,11.4
Crowley,Democrat,Bernie Sanders,16,24.799999999999997,62.900000000000006,12.3
Richland,Democrat,Bernie Sanders,1784,11.099999999999994,73.9,15.0
Morgan,Democrat,Bernie Sanders,87,21.200000000000003,63.699999999999996,15.1
Morgan,Republican,Donald Trump,10909,18.599999999999994,61.50000000000001,19.9
Cherokee,Republican,Donald Trump,2777,21.700000000000003,65.5,12.8
Chaffee,Democrat,Bernie Sanders,404,8.900000000000006,57.199999999999996,33.9
Martinsville,Democrat,Hillary Clinton,834,22.299999999999997,61.0,16.7
Calcasieu,Democrat,Hillary Clinton,6594,15.5,64.6,19.9
Lake,Democrat,Hillary Clinton,43091,13.0,67.2,19.8
Ford,Republican,Ted Cruz,1281,11.400000000000006,72.3,16.3
Custer,Democrat,Bernie Sanders,45,5.400000000000006,61.89999999999999,32.7
Yancey,Democrat,Bernie Sanders,1386,16.799999999999997,65.30000000000001,17.9
Madison,Republican,Donald Trump,23791,10.0,51.5,38.5
Dale,Republican,Donald Trump,4151,15.900000000000006,67.1,17.0
Searcy,Republican,Donald Trump,939,25.900000000000006,62.099999999999994,12.0
Kenosha,Democrat,Bernie Sanders,14612,11.200000000000003,65.6,23.2
Marshall,Republican,Donald Trump,4755,15.599999999999994,67.80000000000001,16.6
Allen,Republican,Ted Cruz,29963,11.0,62.7,26.3
Monroe,Democrat,Hillary Clinton,2438,23.900000000000006,65.5,10.6
Washington,Republican,Ted Cruz,783,18.200000000000003,65.1,16.7
Pecos,Democrat,Hillary Clinton,816,31.299999999999997,56.0,12.7
Hitchcock,Republican,Donald Trump,305,7.099999999999994,79.10000000000001,13.8
Erie,Democrat,Hillary Clinton,50199,10.200000000000003,58.9,30.9
Elbert,Republican,Donald Trump,1394,21.700000000000003,67.0,11.3
Union,Republican,Donald Trump,719,26.099999999999994,63.900000000000006,10.0
Clay,Republican,Ted Cruz,13559,8.200000000000003,61.199999999999996,30.6
